epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,105.022,0.89743,0.54756,1.21033,0.96176,1,0.99319,0.75989,0.89444,0.47277,1.31268,0.0011882,0.0011882,0.0011882
43,107.464,0.94304,0.55611,1.26282,1,0.99802,0.995,0.71305,1.03131,0.56566,1.40172,0.0011684,0.0011684,0.0011684
44,109.914,0.93661,0.56538,1.22881,0.99779,1,0.995,0.74296,0.96872,0.45089,1.36638,0.0011486,0.0011486,0.0011486
45,112.354,0.95634,0.56258,1.25317,0.99579,1,0.995,0.74776,0.95138,0.43887,1.32601,0.0011288,0.0011288,0.0011288
46,114.83,0.95277,0.55027,1.2596,0.94792,0.99293,0.99161,0.75328,0.94775,0.56159,1.34317,0.001109,0.001109,0.001109
47,117.297,0.88851,0.55338,1.19431,0.98211,0.99802,0.99482,0.75922,0.93744,0.4551,1.33465,0.0010892,0.0010892,0.0010892
48,119.747,0.89293,0.52518,1.20196,0.96368,0.96474,0.99324,0.73475,0.95115,0.46237,1.37845,0.0010694,0.0010694,0.0010694
49,122.192,0.94441,0.53711,1.24311,0.98425,0.96364,0.99429,0.76524,0.95858,0.43944,1.3715,0.0010496,0.0010496,0.0010496
50,124.653,0.89594,0.53301,1.21845,1,0.99926,0.995,0.75325,0.97201,0.42018,1.33598,0.0010298,0.0010298,0.0010298
51,127.096,0.91447,0.54728,1.21865,1,0.9553,0.99377,0.75849,0.92661,0.43635,1.30746,0.00101,0.00101,0.00101
52,129.551,0.89468,0.50722,1.19884,0.9502,0.96364,0.99014,0.74909,0.9508,0.47045,1.32228,0.0009902,0.0009902,0.0009902
53,131.993,0.86433,0.49906,1.18724,0.90624,0.98182,0.98821,0.75549,0.93559,0.47004,1.31753,0.0009704,0.0009704,0.0009704
54,134.444,0.847,0.48435,1.19417,0.99355,1,0.995,0.75422,0.96481,0.43684,1.36555,0.0009506,0.0009506,0.0009506
55,136.893,0.90453,0.4902,1.20445,0.99844,1,0.995,0.73287,1.03795,0.42779,1.45636,0.0009308,0.0009308,0.0009308
56,139.342,0.88604,0.51895,1.21664,0.98209,0.99687,0.99446,0.75372,1.01158,0.42854,1.38704,0.000911,0.000911,0.000911
57,141.789,0.8592,0.49031,1.17149,0.98207,0.99575,0.99286,0.763,0.93457,0.40618,1.32499,0.0008912,0.0008912,0.0008912
58,144.242,0.82315,0.46951,1.16548,0.99845,1,0.995,0.74624,0.90104,0.41038,1.30596,0.0008714,0.0008714,0.0008714
59,146.704,0.84477,0.50089,1.19143,0.98421,0.98182,0.99465,0.74276,0.92846,0.44087,1.30978,0.0008516,0.0008516,0.0008516
60,149.168,0.82736,0.47179,1.19574,0.98006,1,0.99482,0.74312,0.91315,0.41157,1.34468,0.0008318,0.0008318,0.0008318
61,151.624,0.85061,0.49046,1.17857,0.98208,1,0.995,0.78039,0.85078,0.37629,1.23998,0.000812,0.000812,0.000812
62,154.095,0.84424,0.49316,1.16999,0.98844,1,0.995,0.79348,0.82582,0.37137,1.23716,0.0007922,0.0007922,0.0007922
63,156.596,0.7704,0.44268,1.13804,0.99438,1,0.995,0.78263,0.83836,0.37301,1.24808,0.0007724,0.0007724,0.0007724
64,159.043,0.78087,0.4535,1.13559,0.99488,1,0.995,0.77533,0.87722,0.38231,1.28391,0.0007526,0.0007526,0.0007526
65,161.481,0.81684,0.47106,1.18251,0.99268,1,0.995,0.77211,0.90104,0.40604,1.29274,0.0007328,0.0007328,0.0007328
66,163.933,0.77634,0.45462,1.14396,0.99846,1,0.995,0.77347,0.88288,0.37423,1.30829,0.000713,0.000713,0.000713
67,166.376,0.76355,0.45052,1.12309,0.99863,1,0.995,0.77647,0.89197,0.36903,1.29895,0.0006932,0.0006932,0.0006932
68,168.832,0.7732,0.44863,1.12859,0.9991,1,0.995,0.76294,0.93875,0.38998,1.34128,0.0006734,0.0006734,0.0006734
69,171.281,0.75758,0.42018,1.14919,1,0.99924,0.995,0.73057,1.02193,0.38378,1.41745,0.0006536,0.0006536,0.0006536
70,173.739,0.83382,0.44266,1.17025,0.99704,1,0.995,0.77173,0.899,0.36243,1.33342,0.0006338,0.0006338,0.0006338
71,176.201,0.75182,0.4122,1.12479,0.99839,1,0.995,0.77833,0.89391,0.36615,1.31177,0.000614,0.000614,0.000614
72,178.701,0.74482,0.4453,1.1216,0.99794,1,0.995,0.78152,0.87949,0.35171,1.29906,0.0005942,0.0005942,0.0005942
73,181.181,0.7878,0.4388,1.15388,0.99781,1,0.995,0.76662,0.91329,0.36393,1.32914,0.0005744,0.0005744,0.0005744
74,183.656,0.74485,0.4366,1.11691,0.99721,1,0.995,0.75356,0.94448,0.37444,1.35736,0.0005546,0.0005546,0.0005546
75,186.098,0.77245,0.43573,1.13628,0.99812,1,0.995,0.77404,0.9303,0.35876,1.35183,0.0005348,0.0005348,0.0005348
76,188.57,0.75901,0.41066,1.12929,0.97937,1,0.99482,0.77561,0.899,0.36364,1.30792,0.000515,0.000515,0.000515
77,191.01,0.7419,0.42482,1.10939,0.98031,1,0.99482,0.77871,0.89619,0.36565,1.29923,0.0004952,0.0004952,0.0004952
78,193.486,0.77415,0.44977,1.14431,0.98073,1,0.99482,0.77062,0.87946,0.35439,1.28756,0.0004754,0.0004754,0.0004754
79,195.936,0.7473,0.41289,1.11426,0.99873,1,0.995,0.77106,0.87129,0.34143,1.26798,0.0004556,0.0004556,0.0004556
80,198.405,0.72498,0.41269,1.10765,0.99645,1,0.995,0.78756,0.85923,0.33111,1.26103,0.0004358,0.0004358,0.0004358
81,200.868,0.718,0.40047,1.09491,0.98712,1,0.995,0.77301,0.87774,0.34688,1.28847,0.000416,0.000416,0.000416
82,203.336,0.71406,0.38856,1.07871,0.9987,1,0.995,0.7891,0.83936,0.34552,1.26979,0.0003962,0.0003962,0.0003962
83,205.798,0.70474,0.39298,1.11869,0.99284,1,0.995,0.78992,0.84089,0.33996,1.27434,0.0003764,0.0003764,0.0003764
84,208.269,0.68079,0.39658,1.08024,0.99355,1,0.995,0.79141,0.8624,0.33921,1.29988,0.0003566,0.0003566,0.0003566
85,210.73,0.74364,0.41624,1.13862,0.99538,1,0.995,0.78686,0.8762,0.34679,1.31026,0.0003368,0.0003368,0.0003368
86,213.177,0.71907,0.4122,1.13712,0.99761,1,0.995,0.77817,0.87556,0.3454,1.30174,0.000317,0.000317,0.000317
87,215.651,0.69456,0.39493,1.1108,0.99749,1,0.995,0.78292,0.88526,0.34952,1.29948,0.0002972,0.0002972,0.0002972
88,218.105,0.6981,0.38308,1.1036,0.99866,1,0.995,0.79092,0.87648,0.34804,1.27432,0.0002774,0.0002774,0.0002774
89,220.56,0.66384,0.36251,1.08706,0.99888,1,0.995,0.78733,0.86854,0.32654,1.26838,0.0002576,0.0002576,0.0002576
90,223.03,0.68687,0.38631,1.10154,0.99896,1,0.995,0.79671,0.8533,0.32056,1.25144,0.0002378,0.0002378,0.0002378
91,226.333,0.58008,0.37431,1.06579,0.99891,1,0.995,0.79517,0.8593,0.32873,1.2675,0.000218,0.000218,0.000218
92,228.783,0.57204,0.3264,1.03258,0.99883,1,0.995,0.77277,0.84811,0.33127,1.27543,0.0001982,0.0001982,0.0001982
93,231.229,0.55204,0.31679,1.0464,0.99852,1,0.995,0.77882,0.8631,0.34195,1.2893,0.0001784,0.0001784,0.0001784
94,233.71,0.55749,0.31271,1.03248,0.99756,1,0.995,0.77826,0.90903,0.3515,1.32455,0.0001586,0.0001586,0.0001586
95,236.142,0.54835,0.30588,1.03526,0.99664,1,0.995,0.78128,0.88845,0.35594,1.30678,0.0001388,0.0001388,0.0001388
96,238.58,0.5139,0.27761,1.00911,0.99706,1,0.995,0.77364,0.88773,0.35222,1.31592,0.000119,0.000119,0.000119
97,241.019,0.52469,0.30023,1.03104,0.99778,1,0.995,0.78918,0.88323,0.35233,1.31454,9.92e-05,9.92e-05,9.92e-05
98,243.455,0.50898,0.28994,1.03453,0.99848,1,0.995,0.78523,0.88106,0.3501,1.3159,7.94e-05,7.94e-05,7.94e-05
99,245.885,0.50752,0.2808,1.0077,0.9986,1,0.995,0.78572,0.87712,0.34983,1.31819,5.96e-05,5.96e-05,5.96e-05
100,248.325,0.4995,0.27966,1.01161,0.99852,1,0.995,0.78616,0.87722,0.34845,1.31643,3.98e-05,3.98e-05,3.98e-05
