epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,402.861,1.24517,0.49661,0.02429,0.99339,0.98182,0.99482,0.71784,1.06111,0.26327,0.03178,0.0012562,0.0012562,0.0012562
44,412.036,1.2256,0.47304,0.02409,1,0.9991,0.995,0.68403,1.22024,0.29961,0.03892,0.00122596,0.00122596,0.00122596
45,421.198,1.20186,0.49483,0.02269,0.98211,0.99797,0.99411,0.72219,1.08904,0.28835,0.034,0.00119551,0.00119551,0.00119551
46,430.367,1.15866,0.46883,0.02198,0.9968,0.96364,0.99429,0.73546,1.02612,0.27102,0.03161,0.00116487,0.00116487,0.00116487
47,439.554,1.15575,0.45578,0.02192,0.9919,1,0.995,0.71775,1.15061,0.27873,0.03621,0.00113408,0.00113408,0.00113408
48,448.73,1.11086,0.41729,0.022,0.9969,1,0.995,0.71137,1.05682,0.25987,0.03186,0.00110317,0.00110317,0.00110317
49,457.953,1.14761,0.47636,0.02115,0.99661,0.98182,0.99465,0.72069,0.977,0.25108,0.02955,0.00107216,0.00107216,0.00107216
50,467.12,1.08702,0.43189,0.02042,0.99419,1,0.995,0.73059,1.00774,0.2736,0.03129,0.0010411,0.0010411,0.0010411
51,476.299,1.037,0.42049,0.01871,0.99867,1,0.995,0.70522,1.05853,0.26035,0.03297,0.00101,0.00101,0.00101
52,485.483,1.09653,0.46173,0.02108,0.99733,1,0.995,0.71283,1.04624,0.25898,0.03315,0.000978903,0.000978903,0.000978903
53,494.656,1.09434,0.44105,0.02067,0.99194,1,0.995,0.69428,1.12281,0.27634,0.035,0.000947837,0.000947837,0.000947837
54,503.846,1.11403,0.45559,0.02162,0.99908,1,0.995,0.71219,1.01879,0.23784,0.0313,0.000916833,0.000916833,0.000916833
55,513.033,1.02021,0.39464,0.01905,0.99998,1,0.995,0.73867,1.00424,0.23956,0.03132,0.00088592,0.00088592,0.00088592
56,522.286,1.07579,0.40924,0.021,0.99913,1,0.995,0.7662,0.94366,0.22689,0.0287,0.00085513,0.00085513,0.00085513
57,531.538,1.03105,0.41757,0.0195,1,0.9998,0.995,0.72763,1.01832,0.26195,0.03139,0.000824492,0.000824492,0.000824492
58,540.711,1.02492,0.39521,0.01916,0.99796,0.98182,0.99482,0.73541,1.03653,0.25404,0.0324,0.000794038,0.000794038,0.000794038
59,549.891,1.02068,0.43496,0.0195,0.99945,0.98182,0.99482,0.73713,0.97779,0.24177,0.02965,0.000763797,0.000763797,0.000763797
60,559.071,1.00278,0.39804,0.01808,0.99782,1,0.995,0.74522,0.92982,0.24361,0.02772,0.000733799,0.000733799,0.000733799
61,568.257,1.02722,0.39914,0.01922,0.98124,1,0.99339,0.73148,0.91327,0.248,0.02708,0.000704073,0.000704073,0.000704073
62,577.442,0.99124,0.39527,0.01891,1,0.99861,0.995,0.74118,0.88707,0.2298,0.02666,0.000674649,0.000674649,0.000674649
63,586.611,0.99007,0.38433,0.01727,0.99629,1,0.995,0.73352,0.94884,0.24952,0.0285,0.000645557,0.000645557,0.000645557
64,595.826,1.01153,0.37799,0.01845,0.99813,1,0.995,0.76296,0.87918,0.22767,0.02611,0.000616824,0.000616824,0.000616824
65,605.041,0.93465,0.36868,0.01743,0.99861,1,0.995,0.76089,0.86015,0.22048,0.02535,0.000588479,0.000588479,0.000588479
66,614.196,0.98429,0.41406,0.01718,0.9982,1,0.995,0.77284,0.87875,0.21689,0.02618,0.000560549,0.000560549,0.000560549
67,623.461,0.9339,0.34778,0.01723,0.99947,1,0.995,0.75301,0.88717,0.21901,0.02594,0.000533064,0.000533064,0.000533064
68,632.69,0.95854,0.36994,0.01759,0.98188,1,0.99411,0.77346,0.8894,0.26708,0.02636,0.000506049,0.000506049,0.000506049
69,641.956,0.95347,0.33538,0.01862,0.97912,1,0.99446,0.77469,0.84136,0.22202,0.02453,0.000479531,0.000479531,0.000479531
70,651.227,0.95284,0.36467,0.01795,1,0.99495,0.995,0.77847,0.83391,0.24544,0.02424,0.000453537,0.000453537,0.000453537
71,660.499,0.88873,0.31844,0.01628,0.99774,1,0.995,0.76287,0.92229,0.23667,0.02786,0.000428093,0.000428093,0.000428093
72,669.718,0.94159,0.39722,0.01747,0.99644,1,0.995,0.77258,0.85158,0.22072,0.02548,0.000403222,0.000403222,0.000403222
73,678.945,0.914,0.34182,0.01683,1,0.99831,0.995,0.75669,0.91001,0.22936,0.02754,0.00037895,0.00037895,0.00037895
74,688.125,0.9265,0.35332,0.01693,1,0.99878,0.995,0.76913,0.87562,0.23414,0.02629,0.000355301,0.000355301,0.000355301
75,697.291,0.88333,0.33974,0.01666,0.99886,1,0.995,0.76884,0.88137,0.22738,0.02667,0.000332298,0.000332298,0.000332298
76,706.469,0.878,0.34493,0.01674,1,0.99634,0.995,0.77401,0.87446,0.24524,0.02636,0.000309964,0.000309964,0.000309964
77,715.671,0.89193,0.33317,0.01667,1,0.99966,0.995,0.77285,0.88031,0.22582,0.02648,0.000288321,0.000288321,0.000288321
78,724.859,0.86936,0.31214,0.01579,0.99932,1,0.995,0.75007,0.88652,0.22351,0.02679,0.00026739,0.00026739,0.00026739
79,734.079,0.89403,0.35133,0.01616,1,0.99893,0.995,0.76188,0.87625,0.22962,0.02632,0.000247192,0.000247192,0.000247192
80,743.293,0.90206,0.36598,0.01668,0.99862,1,0.995,0.76653,0.8844,0.21998,0.02643,0.000227747,0.000227747,0.000227747
81,752.503,0.88702,0.33474,0.01596,0.99881,1,0.995,0.77164,0.8636,0.20975,0.0257,0.000209073,0.000209073,0.000209073
82,761.676,0.89523,0.35795,0.01671,0.99887,1,0.995,0.77227,0.85767,0.20723,0.02553,0.00019119,0.00019119,0.00019119
83,770.867,0.86799,0.35042,0.01649,1,0.99841,0.995,0.79095,0.81769,0.21176,0.02405,0.000174115,0.000174115,0.000174115
84,780.118,0.8176,0.31422,0.01512,0.99884,1,0.995,0.78762,0.80821,0.19946,0.02367,0.000157865,0.000157865,0.000157865
85,789.306,0.81287,0.31806,0.01455,0.99753,1,0.995,0.78457,0.79167,0.21062,0.02306,0.000142456,0.000142456,0.000142456
86,798.489,0.90972,0.36421,0.01607,0.99888,1,0.995,0.78135,0.79834,0.19907,0.02338,0.000127904,0.000127904,0.000127904
87,807.717,0.83474,0.34392,0.0154,1,0.99938,0.995,0.78118,0.81918,0.20768,0.02405,0.000114221,0.000114221,0.000114221
88,816.887,0.82342,0.30594,0.01556,0.99909,1,0.995,0.77604,0.81733,0.20067,0.02386,0.000101423,0.000101423,0.000101423
89,826.106,0.84903,0.32988,0.01485,1,0.9972,0.995,0.77553,0.80895,0.22551,0.02369,8.95213e-05,8.95213e-05,8.95213e-05
90,835.297,0.82783,0.31849,0.01637,1,0.99725,0.995,0.77338,0.80545,0.22172,0.02351,7.8528e-05,7.8528e-05,7.8528e-05
91,845.28,0.75621,0.28682,0.01991,1,0.99842,0.995,0.77126,0.83923,0.21684,0.02464,6.8454e-05,6.8454e-05,6.8454e-05
92,854.444,0.74503,0.2716,0.0186,0.99857,1,0.995,0.76791,0.84405,0.20968,0.02485,5.93093e-05,5.93093e-05,5.93093e-05
93,863.578,0.69546,0.24085,0.01791,0.98214,0.99959,0.99482,0.76978,0.84184,0.22872,0.02474,5.11027e-05,5.11027e-05,5.11027e-05
94,872.711,0.67223,0.23284,0.01706,0.99844,1,0.995,0.77065,0.8427,0.21125,0.02485,4.38424e-05,4.38424e-05,4.38424e-05
95,881.864,0.71551,0.22658,0.01803,0.99867,1,0.995,0.77748,0.84583,0.21056,0.02497,3.75356e-05,3.75356e-05,3.75356e-05
96,891.052,0.69186,0.24883,0.0182,0.99868,1,0.995,0.78031,0.85179,0.21076,0.02521,3.21885e-05,3.21885e-05,3.21885e-05
97,900.213,0.66433,0.20725,0.01728,1,0.97916,0.99482,0.76715,0.85896,0.22806,0.02539,2.78064e-05,2.78064e-05,2.78064e-05
98,909.365,0.67355,0.2083,0.01694,1,0.99998,0.995,0.7651,0.85921,0.23326,0.02538,2.43937e-05,2.43937e-05,2.43937e-05
99,918.523,0.69126,0.21717,0.01733,1,0.99163,0.995,0.77269,0.85814,0.2243,0.02534,2.19535e-05,2.19535e-05,2.19535e-05
100,927.668,0.69116,0.20606,0.01807,0.99856,1,0.995,0.77448,0.86219,0.21737,0.02539,2.04885e-05,2.04885e-05,2.04885e-05
